S.No.,Brand,Product_name,Shipping
1 , EVGA, EVGA GeForce GTX 1070 HYBRID GAMING| 08G-P4-6178-KR| 8GB GDDR5| LED| All-In-One Watercooling| DX12 OSD Support (PXOC) , Free Shipping 
2 , ASUS, ASUS ROG GeForce GTX 1080 STRIX-GTX1080-A8G-GAMING Video Card , Free Shipping 
3 , MSI, MSI Radeon RX Vega 56 DirectX 12 RX Vega 56 Air Boost 8G OC 8GB 2048-Bit HBM2 PCI Express x16 HDCP Ready CrossFireX Support ATX Video Card , $4.99 Shipping 
4 , Sapphire Tech, SAPPHIRE NITRO+ Radeon RX 580 DirectX 12 100411NT+4G-2L Video Card w/ Backplate (UEFI)| SAMSUNG MEMORY , Free Shipping 
5 , ZOTAC, ZOTAC GeForce GTX 1070 Ti DirectX 12 ZT-P10710G-10P Video Card - Mini , $5.99 Shipping 
6 , GIGABYTE, GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-6GD Video Card , $4.99 Shipping 
7 , ASUS, ASUS Radeon RX 580 DirectX 12 DUAL-RX580-O8G Video Card , Free Shipping 
8 , EVGA, EVGA GeForce GTX 1080 SC GAMING ACX 3.0| 08G-P4-6183-KR| 8GB GDDR5X| LED| DX12 OSD Support (PXOC) , $4.99 Shipping 
9 , MSI, MSI GeForce GTX 1060 DirectX 12 GTX 1060 GAMING X 6G Video Card , Free Shipping 
10 , Sapphire Tech, Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate SPECIAL EDITION (UEFI)| 100411NT+8GSEL , $4.99 Shipping 
11 , GIGABYTE, GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD Video Card , $4.99 Shipping 
12 , ASRock, ASRock Phantom Gaming X Radeon RX 580 DirectX 12 RX580 8G OC Video Card , $4.99 Shipping 
